threads,serial_ms,threaded_ms,speedup,min_worker_ms,max_worker_ms,spread_ms,imbalance_ratio,slowest_worker
2,285.076,148.660,1.9176,146.887,148.412,1.525,1.0104,1
3,295.630,182.039,1.6240,56.416,181.577,125.161,3.2185,1
4,284.849,115.083,2.4752,27.611,114.298,86.687,4.1396,2
5,280.536,112.956,2.4836,14.490,112.704,98.214,7.7781,2
6,282.894,87.217,3.2436,9.035,86.836,77.801,9.6111,3
7,280.832,83.210,3.3750,7.110,82.918,75.808,11.6622,3
8,279.438,70.928,3.9397,5.436,70.679,65.243,13.0020,4
