input_mode,uniform_input_value,serial_ms,ispc_ms,task_ispc_ms,simd_speedup,multicore_speedup,total_speedup
random,,677.752,174.201,46.828,3.8906,3.7200,14.4732
best,2.99999976,3329.612,695.005,169.671,4.7908,4.0962,19.6239
